idx,project,filename,window_start,window_end,label,logits
82,phylloscopus_collybita,phylloscopus_collybita_676866_01.wav,0.0,5.0,chirp_staple,1.3727617
108,phylloscopus_collybita,phylloscopus_collybita_625809_02.wav,0.0,5.0,chirp_staple,0.30716377
213,phylloscopus_collybita,phylloscopus_collybita_679641_01.wav,0.0,5.0,chirp_staple,0.029938534
250,phylloscopus_collybita,phylloscopus_collybita_751194_01.wav,0.0,5.0,chirp_staple,2.126158
333,phylloscopus_collybita,phylloscopus_collybita_901615_01.wav,0.0,5.0,chirp_staple,0.27437973
344,phylloscopus_collybita,phylloscopus_collybita_395251_02.wav,0.0,5.0,chirp_staple,2.0666833
345,phylloscopus_collybita,phylloscopus_collybita_840609_04.wav,0.0,5.0,chirp_staple,0.03898423
405,phylloscopus_collybita,phylloscopus_collybita_613402_04.wav,0.0,5.0,chirp_staple,1.4297738
479,phylloscopus_collybita,phylloscopus_collybita_684488_01.wav,0.0,5.0,chirp_staple,0.7694655
500,phylloscopus_collybita,phylloscopus_collybita_198848_01.wav,0.0,5.0,chirp_staple,2.3001068
502,phylloscopus_collybita,phylloscopus_collybita_697350_03.wav,0.0,5.0,chirp_staple,2.12144
519,phylloscopus_collybita,phylloscopus_collybita_844367_03.wav,0.0,5.0,chirp_staple,0.5430783
530,phylloscopus_collybita,phylloscopus_collybita_688895_01.wav,0.0,5.0,chirp_staple,2.5615458
557,phylloscopus_collybita,phylloscopus_collybita_777228_04.wav,0.0,5.0,chirp_staple,0.45635462
598,phylloscopus_collybita,phylloscopus_collybita_750327_02.wav,0.0,5.0,chirp_staple,1.1665676
604,phylloscopus_collybita,phylloscopus_collybita_340687_04.wav,0.0,5.0,chirp_staple,0.010773726
656,phylloscopus_collybita,phylloscopus_collybita_283900_01.wav,0.0,5.0,chirp_staple,1.8768466
704,phylloscopus_collybita,phylloscopus_collybita_283252_05.wav,0.0,5.0,chirp_staple,1.9809167
720,phylloscopus_collybita,phylloscopus_collybita_608910_04.wav,0.0,5.0,chirp_staple,1.0777147
735,phylloscopus_collybita,phylloscopus_collybita_692418_02.wav,0.0,5.0,chirp_staple,0.3989935
736,phylloscopus_collybita,phylloscopus_collybita_773193_01.wav,0.0,5.0,chirp_staple,1.642034
791,phylloscopus_collybita,phylloscopus_collybita_608910_05.wav,0.0,5.0,chirp_staple,0.57642365
813,phylloscopus_collybita,phylloscopus_collybita_283252_04.wav,0.0,5.0,chirp_staple,2.0348325
945,phylloscopus_collybita,phylloscopus_collybita_763829_01.wav,0.0,5.0,chirp_staple,1.8361185
1002,phylloscopus_collybita,phylloscopus_collybita_763825_02.wav,0.0,5.0,chirp_staple,2.7684927
1012,phylloscopus_collybita,phylloscopus_collybita_692142_01.wav,0.0,5.0,chirp_staple,1.9673166
1017,phylloscopus_collybita,phylloscopus_collybita_701882_02.wav,0.0,5.0,chirp_staple,0.84666926
1100,phylloscopus_collybita,phylloscopus_collybita_615239_01.wav,0.0,5.0,chirp_staple,0.29073262
1223,phylloscopus_collybita,phylloscopus_collybita_395251_01.wav,0.0,5.0,chirp_staple,1.6349247
1263,phylloscopus_collybita,phylloscopus_collybita_763826_01.wav,0.0,5.0,chirp_staple,2.45549
1338,phylloscopus_collybita,phylloscopus_collybita_625864_01.wav,0.0,5.0,chirp_staple,1.5831401
1403,phylloscopus_collybita,phylloscopus_collybita_844367_01.wav,0.0,5.0,chirp_staple,0.63875854
1489,phylloscopus_collybita,phylloscopus_collybita_687044_01.wav,0.0,5.0,chirp_staple,2.7572587
1614,phylloscopus_collybita,phylloscopus_collybita_289029_02.wav,0.0,5.0,chirp_staple,0.70520455
1847,phylloscopus_collybita,phylloscopus_collybita_697350_02.wav,0.0,5.0,chirp_staple,1.7344692
1892,phylloscopus_collybita,phylloscopus_collybita_345066_04.wav,0.0,5.0,chirp_staple,0.7255003
1931,phylloscopus_collybita,phylloscopus_collybita_64016_05.wav,0.0,5.0,chirp_staple,1.3132546
2149,phylloscopus_collybita,phylloscopus_collybita_614324_05.wav,0.0,5.0,chirp_staple,0.5640536
2173,phylloscopus_collybita,phylloscopus_collybita_651356_03.wav,0.0,5.0,chirp_staple,0.6469811
2218,phylloscopus_collybita,phylloscopus_collybita_1056622_02.wav,0.0,5.0,chirp_staple,1.4059069
2219,phylloscopus_collybita,phylloscopus_collybita_689982_01.wav,0.0,5.0,chirp_staple,0.55852365
2341,phylloscopus_collybita,phylloscopus_collybita_608904_03.wav,0.0,5.0,chirp_staple,1.6189951
2450,phylloscopus_collybita,phylloscopus_collybita_1065221_02.wav,0.0,5.0,chirp_staple,0.5246608
2476,phylloscopus_collybita,phylloscopus_collybita_387296_04.wav,0.0,5.0,chirp_staple,0.4623261
2566,phylloscopus_collybita,phylloscopus_collybita_455697_03.wav,0.0,5.0,chirp_staple,0.012258947
2601,phylloscopus_collybita,phylloscopus_collybita_1052429_03.wav,0.0,5.0,chirp_staple,0.39617145
2652,phylloscopus_collybita,phylloscopus_collybita_633616_01.wav,0.0,5.0,chirp_staple,2.426119
2720,phylloscopus_collybita,phylloscopus_collybita_293139_02.wav,0.0,5.0,chirp_staple,0.10131094
2767,phylloscopus_collybita,phylloscopus_collybita_357796_01.wav,0.0,5.0,chirp_staple,1.7509359
3063,phylloscopus_collybita,phylloscopus_collybita_283252_03.wav,0.0,5.0,chirp_staple,2.7062607
3082,phylloscopus_collybita,phylloscopus_collybita_615558_01.wav,0.0,5.0,chirp_staple,1.7185999
3230,phylloscopus_collybita,phylloscopus_collybita_751194_02.wav,0.0,5.0,chirp_staple,1.4514217
3258,phylloscopus_collybita,phylloscopus_collybita_656943_01.wav,0.0,5.0,chirp_staple,2.6010594
3358,phylloscopus_collybita,phylloscopus_collybita_615850_03.wav,0.0,5.0,chirp_staple,0.10027228
3374,phylloscopus_collybita,phylloscopus_collybita_753963_01.wav,0.0,5.0,chirp_staple,1.4146771
3471,phylloscopus_collybita,phylloscopus_collybita_1008446_04.wav,0.0,5.0,chirp_staple,2.0036068
3480,phylloscopus_collybita,phylloscopus_collybita_340687_01.wav,0.0,5.0,chirp_staple,0.40029317
3697,phylloscopus_collybita,phylloscopus_collybita_342796_03.wav,0.0,5.0,chirp_staple,0.548896
3736,phylloscopus_collybita,phylloscopus_collybita_609204_01.wav,0.0,5.0,chirp_staple,0.25787753
3762,phylloscopus_collybita,phylloscopus_collybita_203982_01.wav,0.0,5.0,chirp_staple,1.7173573
3767,phylloscopus_collybita,phylloscopus_collybita_357796_03.wav,0.0,5.0,chirp_staple,2.347797
